company,adress,lat,lon
cardtronics,"40-42 Craven Road,LONDON,UK W2 3QA",51.51368,-0.1793279
cardtronics,"302 Bethnal Green Road,London,UK E2 0A",51.52631,-0.0647098
cardtronics,"817 Unit Shop,LONDON,UK NW1 8",51.54221,-0.14835
cardtronics,"1 LOCKWOOD SQUARE,LONDON,UK 0SE16",51.49621,-0.0614363
cardtronics,"102 Weymouth Terrace,LONDON,UK E2 8LR",51.53319,-0.07178862
cardtronics,"245 Brixton Road,Stockwell,UK SW9 6AQ",51.47105,-0.112977
cardtronics,"Outside Iceland 314,LONDON,UK SW9 9AE",51.47104,-0.1245725
cardtronics,"o/s 9-40 Richardson Court,LONDON,UK SW9 9AE",51.47104,-0.1245725
cardtronics,"258 Clapham Road,LONDON,UK SW9 9AE",51.47104,-0.1245725
cardtronics,"60 WAPPING LANE,LONDON,UK E1W 2",51.50524,-0.0579443
cardtronics,"141-145 Kentish Town Road,LONDON,UK NW1 8PB",51.54443,-0.141701
cardtronics,"125 Kentish Town Road,LONDON,UK NW1 8PB",51.54443,-0.141701
cardtronics,"246-252 Hackney Road,London,UK E2 7SJ",51.53091,-0.06871051
cardtronics,"Unit 2, 193-221 Southwark Park Road,LONDON,UK SE16 3TS",51.49251,-0.06313469
cardtronics,"North Road,London,UK N7 9FD",51.54738,-0.1244775
cardtronics,"316 St Pauls Road,LONDON,UK N1 2LF",51.54622,-0.1023935
cardtronics,"191 Queen's Gate,LONDON,UK SW7 5EU",51.50056,-0.1797072
cardtronics,"290 Brixton Road,London,UK SW9 6AG",51.47031,-0.1128361
cardtronics,"69 Watney Street,SHADWELL,UK E1 2QE",51.51153,-0.05643035
cardtronics,"189 Battersea Park Road,BATTERSEA,UK SW11 4JP",51.47552,-0.1510182
cardtronics,"15-17 WATNEY MARKET,LONDON,UK E1 2PP",51.51345,-0.05666703
cardtronics,"28-32 Denmark Hill,London,UK SE5 8RZ",51.47311,-0.0935256
cardtronics,"WATNEY ST,LONDON,UK E1 2QD",51.51168,-0.05585693
cardtronics,"51-53 Camberwell Church Street,LONDON,UK SE5 8TR",51.47399,-0.0895706
