name,lat,lon
Camberwell Rd Albany Rd,51.4824,-0.0946
Piccadilly Down St,51.5044,-0.1472
Mile End Rd Cephas Ave,51.5212,-0.04894
Old Street e of Vince St,51.5262,-0.08563
Goldhawk Rd HSmith Grove,51.5021,-0.22886
A23 Streatham H Rd Heathdene Rd,51.4163,-0.12528
Limehouse Tnl East Portal E B,51.5085,-0.0223
Piccadilly Whitehorse St,51.5054,-0.14559
A2 Westmount Road,51.4564,0.06041
A4 Cromwell Rd Queens Gate,51.4954,-0.17937
Great Chertsey Rd Hartington Rd,51.4746,-0.26731
Kings X Rd   Swinton St,51.5294,-0.11572
A205 Upper Rmond Rd Vine Rd,51.4651,-0.24949
Graham Rd Dalston Lane,51.5462,-0.06941
Gtreat Cambridge Rd   Church St,51.6301,-0.0782
A2 Eltham East E B,51.4562,0.05905
Barking Rd Chargable Lane,51.5217,0.02102
A21 North of Davenport Rd,51.4498,-0.01692
A4 Bath Rd The Avenue,51.48,-0.4118
A205 Kew Rd Kew Green,51.4853,-0.28752
A205 W of Brockley Rise,51.4423,-0.04327
A205 Dulwich Common College Rd,51.4417,-0.08474
A12 GGT E Appr 4063A,51.5765,0.03117
Finchley Rd Frognal Ct,51.5484,-0.18096
Battersea Brdg Rd Westbridge Rd,51.478,-0.1697
Wworth High St Wworth Plain,51.4573,-0.19502
A23 Old Lodge Lane,51.3318,-0.12475
Battersea Pk Rd Battersea Brg,51.4723,-0.16512
